state,county,tract,bg,pumano
35,57,963201,0,500
35,57,963202,0,500
35,57,963600,0,500
35,57,963700,0,500
35,1,126,0,602
35,1,2600,0,604
35,1,3714,0,603
35,1,3001,0,604
35,1,122,0,601
35,1,402,0,604
35,1,124,0,602
35,1,1700,0,604
35,1,4502,0,605
35,1,4715,0,605
35,1,4741,0,605
35,1,3736,0,603
35,1,3735,0,603
35,1,3738,0,601
35,1,501,0,604
35,1,4736,0,605
35,1,4744,0,603
35,1,2200,0,604
35,1,3202,0,604
35,1,4723,0,603
35,1,4729,0,603
35,1,206,0,601
35,1,123,0,602
35,1,601,0,604
35,1,901,0,602
35,1,4722,0,603
35,1,3502,0,603
35,1,3723,0,601
35,1,401,0,604
35,1,300,0,604
35,1,3002,0,604
35,1,4728,0,603
35,1,2402,0,605
35,1,204,0,604
35,1,208,0,604
35,1,3806,0,602
35,1,3707,0,601
35,1,4604,0,605
35,1,203,0,601
35,1,4720,0,603
35,1,111,0,601
35,1,4713,0,605
35,1,109,0,601
35,1,4712,0,605
35,1,4724,0,603
35,1,4602,0,605
35,1,2900,0,604
35,1,2000,0,604
35,1,2700,0,604
35,1,3201,0,604
35,1,4717,0,603
35,1,3721,0,601
35,1,710,0,602
35,1,4725,0,603
35,1,4501,0,605
35,1,4300,0,605
35,1,2500,0,604
35,1,3729,0,601
35,1,3726,0,601
35,1,3805,0,601
35,1,3730,0,601
35,1,4401,0,605
35,1,3717,0,601
35,1,904,0,602
35,1,3803,0,601
35,1,107,0,601
35,1,205,0,604
35,1,4727,0,603
35,1,1600,0,604
35,1,129,0,602
35,1,4402,0,605
35,1,707,0,602
35,1,1400,0,604
35,1,3724,0,601
35,1,3100,0,604
35,1,708,0,602
35,1,3722,0,601
35,1,903,0,602
35,1,3400,0,604
35,1,713,0,602
35,1,4001,0,605
35,1,801,0,602
35,1,1200,0,605
35,1,3501,0,603
35,1,3712,0,601
35,1,110,0,601
35,1,603,0,602
35,1,3715,0,601
35,1,3725,0,601
35,1,112,0,601
35,1,4726,0,603
35,1,3718,0,601
35,1,3719,0,601
35,1,118,0,601
35,1,1900,0,604
35,1,207,0,601
35,1,3733,0,603
35,1,120,0,601
35,1,1800,0,604
35,1,1102,0,604
35,1,704,0,602
35,1,117,0,601
35,1,1500,0,604
35,1,2100,0,604
35,1,1300,0,605
35,1,125,0,602
35,1,3807,0,602
35,1,3732,0,601
35,1,3728,0,601
35,1,712,0,602
35,1,3804,0,601
35,1,3600,0,603
35,1,4716,0,603
35,1,4603,0,605
35,1,115,0,601
35,1,128,0,602
35,1,121,0,601
35,1,711,0,602
35,1,114,0,601
35,1,116,0,601
35,1,127,0,602
35,1,108,0,601
35,1,119,0,601
35,1,502,0,604
35,1,604,0,602
35,1,3731,0,601
35,1,2300,0,605
35,1,113,0,601
35,1,714,0,602
35,1,2401,0,605
35,1,1101,0,604
35,1,4740,0,605
35,1,4742,0,603
35,1,4749,0,603
35,1,3737,0,601
35,1,4735,0,605
35,1,4737,0,605
35,1,4745,0,603
35,1,4738,0,605
35,1,4734,0,605
35,1,4739,0,605
35,1,4733,0,605
35,1,4753,0,603
35,1,4746,0,603
35,1,4748,0,603
35,1,4751,0,603
35,1,4750,0,603
35,1,4747,0,603
35,1,4743,0,603
35,1,4752,0,603
35,1,940700,0,605
35,1,940600,0,603
35,1,940500,0,603
35,43,10702,0,500
35,43,10900,0,500
35,43,940700,0,500
35,43,940200,0,500
35,43,940500,0,500
35,43,11100,0,500
35,43,940300,0,500
35,43,10705,0,500
35,43,10716,0,500
35,43,10714,0,500
35,43,10712,0,500
35,43,10602,0,500
35,43,10703,0,500
35,43,10601,0,500
35,43,940600,0,500
35,43,10503,0,500
35,43,10713,0,500
35,43,10715,0,500
35,43,10718,0,500
35,43,10722,0,500
35,43,10720,0,500
35,43,10717,0,500
35,43,10719,0,500
35,43,10721,0,500
35,43,10723,0,500
35,43,11200,0,500
35,43,940900,0,500
35,43,11000,0,500
35,61,970800,0,500
35,61,970901,0,500
35,61,971000,0,500
35,61,971100,0,500
35,61,940300,0,500
35,61,970101,0,500
35,61,970200,0,500
35,61,970302,0,500
35,61,970401,0,500
35,61,970902,0,500
35,61,970700,0,500
35,61,970303,0,500
35,61,970102,0,500
35,61,970301,0,500
35,61,970405,0,500
35,61,970404,0,500
35,61,971400,0,500
35,61,971300,0,500
35,49,1002,0,400
35,49,1103,0,400
35,49,1105,0,400
35,49,10102,0,400
35,49,1203,0,400
35,49,10800,0,400
35,49,10304,0,400
35,49,980000,0,400
35,49,940300,0,400
35,49,940600,0,400
35,49,940500,0,400
35,49,10308,0,400
35,49,10700,0,400
35,49,200,0,400
35,49,10204,0,400
35,49,10309,0,400
35,49,10603,0,400
35,49,10601,0,400
35,49,1301,0,400
35,49,1205,0,400
35,49,1303,0,400
35,49,1304,0,400
35,49,1204,0,400
35,49,1302,0,400
35,49,10312,0,500
35,49,10310,0,500
35,49,10311,0,500
35,49,10203,0,400
35,49,940400,0,400
35,49,10602,0,400
35,49,10900,0,400
35,49,10315,0,400
35,49,10316,0,400
35,49,940900,0,400
35,49,1106,0,400
35,49,1202,0,400
35,49,10314,0,400
35,49,1102,0,400
35,49,1107,0,400
35,49,10400,0,400
35,49,10500,0,400
35,49,101,0,400
35,49,300,0,400
35,49,400,0,400
35,49,500,0,400
35,49,600,0,400
35,49,700,0,400
35,49,800,0,400
35,49,900,0,400
35,49,1001,0,400